seed,d,iter,dist_raw,dist_align,dist_pm,absip
11,64,0,2.9604905075305044,2.850416198532878,2.9604905075305044,0.024861915593513504
11,64,1,1.3517111412750664,1.3131748949337918,1.3517111412750664,0.05289059988749316
11,64,2,1.2606171357408498,1.2440032942773904,1.2606171357408498,0.18750760842809497
11,64,3,1.256538486472607,1.2149762915265676,1.256538486472607,0.18622147199703137
11,64,4,1.2311576590195217,1.2014392285791993,1.2311576590195217,0.2625144999526541
11,64,5,1.2152542856514883,1.1831253367455794,1.2152542856514883,0.25679850214136957
11,64,6,1.182563595116673,1.1440708118239005,1.1825635951166733,0.28874360354289347
11,64,7,1.159311221854955,1.1302117812745922,1.1593112218549553,0.33203606862965784
11,64,8,1.1172674500795623,1.0923068919972125,1.1172674500795623,0.3783030427085133
11,64,9,1.070288655752508,1.0494645542218388,1.070288655752508,0.42930426783360903
11,64,10,1.063669949415329,1.0495164921147286,1.063669949415329,0.4442240058861635
11,64,11,1.037720105225566,1.024758393882687,1.037720105225566,0.4760274928815951
11,64,12,0.9892106317953032,0.9768862243323316,0.9892106317953032,0.5186564446763496
11,64,13,0.9481432759863603,0.9282916932148174,0.9481432759863603,0.5648778962436909
11,64,14,0.8852517443552206,0.8696018497712636,0.8852517443552206,0.6158828753452914
11,64,15,0.8101153811756671,0.7988487523302932,0.8101153811756671,0.6716633186271936
11,64,16,0.7397786378640897,0.7286674468139118,0.7397786378640897,0.7224945388078029
11,64,17,0.6434662800568802,0.6299402815800497,0.6434662800568802,0.7931703585994992
11,64,18,0.546986888858904,0.5361930849225597,0.546986888858904,0.8524702540547091
11,64,19,0.410312476441814,0.40203751187470477,0.410312476441814,0.9148887478959337
11,64,20,0.29470930106396354,0.2879653536634803,0.29470930106396354,0.9561266998283409
11,64,21,0.20549662558911264,0.20176040553688604,0.20549662558911266,0.9788173967627576
11,64,22,0.14053339998512268,0.13888577354371637,0.14053339998512268,0.990100766867748
11,64,23,0.09695404417357367,0.09557461956873584,0.09695404417357367,0.9952909641209647
11,64,24,0.0702425528036617,0.06958105635934766,0.07024255280366172,0.9975334608677021
11,64,25,0.05025817598489795,0.049799080068222805,0.05025817598489795,0.9987362602632759
11,64,26,0.036248889792655704,0.03595985104364317,0.0362488897926557,0.9993437608701036
11,64,27,0.025942945407708414,0.02573739011068923,0.025942945407708414,0.9996636337852283
11,64,28,0.018892464574401184,0.018762869886040326,0.018892464574401184,0.9998215341037413
11,64,29,0.013926701824395583,0.013848836755670411,0.013926701824395583,0.9999030472218847
11,64,30,0.010377202254579422,0.010281678830148695,0.010377202254579422,0.9999461777830727
11,64,31,0.007710291487647477,0.007636451592158952,0.007710291487647477,0.9999702869734974
11,64,32,0.005803434777713789,0.005759827987938331,0.005803434777713789,0.9999831836685098
11,64,33,0.004299321578661842,0.0042601450411423845,0.004299321578661841,0.9999907578779943
11,64,34,0.0032595530380918505,0.003220583823809451,0.0032595530380918505,0.9999946924371101
11,64,35,0.0024990286494091865,0.0024771456877460203,0.002499028649409186,0.9999968843470839
11,64,36,0.001903698123840319,0.0018846610592998653,0.001903698123840319,0.9999981887238896
11,64,37,0.001467331572255451,0.0014555520594974414,0.001467331572255451,0.9999989236015564
11,64,38,0.001129040040882612,0.0011211551261470407,0.0011290400408826122,0.9999993626496466
11,64,39,0.0008719728965240972,0.0008648590955645057,0.0008719728965240971,0.9999996201140623
11,64,40,0.0006753061560989182,0.0006697022669692906,0.0006753061560989181,0.9999997719943731
11,64,41,0.0005290969804300012,0.0005243484343988819,0.0005290969804300013,0.9999998600732749
11,64,42,0.00041297581538048345,0.0004085418023415547,0.00041297581538048345,0.9999999148049801
11,64,43,0.00032114650519414993,0.00031861358006997456,0.00032114650519414993,0.9999999485341768
11,64,44,0.00025529363305361097,0.0002535034251883833,0.00025529363305361097,0.999999967428335
11,64,45,0.00019996379901204408,0.00019823313156897343,0.00019996379901204405,0.9999999800219392
11,64,46,0.000154464256556429,0.00015298819606946487,0.000154464256556429,0.9999999880739074
11,64,47,0.00012163950962798329,0.00012041887478295142,0.00012163950962798328,0.9999999926028005
11,64,48,9.5903933073071e-05,9.483501903474414e-05,9.5903933073071e-05,0.999999995405028
11,64,49,7.604113826958092e-05,7.51727868853445e-05,7.604113826958092e-05,0.9999999971089296
11,64,50,5.9934480955183556e-05,5.936958170544973e-05,5.993448095518356e-05,0.9999999982045396
11,64,51,4.7537625056542545e-05,4.7132516554481266e-05,4.7537625056542545e-05,0.9999999988713819
11,64,52,3.7581623786692084e-05,3.722705586234964e-05,3.7581623786692084e-05,0.9999999992939821
11,64,53,2.989710760527559e-05,2.96888651084243e-05,2.989710760527559e-05,0.9999999995531412
11,64,54,2.3325246624352042e-05,2.3123515982801853e-05,2.3325246624352042e-05,0.9999999997281028
11,64,55,1.8510401127154686e-05,1.8357718099168952e-05,1.8510401127154686e-05,0.999999999828707
11,64,56,1.4727378437459826e-05,1.458637863439519e-05,1.4727378437459826e-05,0.9999999998916342
11,64,57,1.1807556567872922e-05,1.1702261859026581e-05,1.1807556567872922e-05,0.9999999999303328
11,64,58,9.350781350499554e-06,9.278719007013758e-06,9.350781350499554e-06,0.9999999999562813
11,64,59,7.451033099491522e-06,7.3883457674541805e-06,7.451033099491522e-06,0.9999999999722478
11,64,60,5.918896023353528e-06,5.870563873732555e-06,5.918896023353528e-06,0.9999999999824859
11,64,61,4.691580338587113e-06,4.652304168012421e-06,4.691580338587113e-06,0.9999999999890035
11,64,62,3.7462211216119763e-06,3.7049821683555516e-06,3.746221121611976e-06,0.9999999999929856
11,64,63,2.9911451364115897e-06,2.963752567945759e-06,2.99114513641159e-06,0.9999999999955271
11,64,64,2.4213148145889854e-06,2.404709283238213e-06,2.4213148145889854e-06,0.999999999997069
11,64,65,1.908254861774385e-06,1.8947512038739474e-06,1.908254861774385e-06,0.9999999999981821
11,64,66,1.5243216336081059e-06,1.5105467098722615e-06,1.5243216336081059e-06,0.9999999999988389
11,64,67,1.2177888005963557e-06,1.2069182689703792e-06,1.2177888005963557e-06,0.9999999999992587
11,64,68,9.695684983784472e-07,9.615657448646045e-07,9.695684983784474e-07,0.99999999999953
11,64,69,7.77417119435559e-07,7.713976610526971e-07,7.77417119435559e-07,0.9999999999996981
11,64,70,6.157774834116873e-07,6.107586505418558e-07,6.157774834116872e-07,0.9999999999998105
11,64,71,4.893896466161833e-07,4.860566560675335e-07,4.893896466161833e-07,0.9999999999998803
11,64,72,3.947306872602749e-07,3.915425911106514e-07,3.947306872602749e-07,0.9999999999999222
11,64,73,3.17245853503776e-07,3.1525769251273845e-07,3.17245853503776e-07,0.9999999999999498
11,64,74,2.511782311146838e-07,2.494006296678487e-07,2.511782311146838e-07,0.9999999999999687
11,64,75,2.0012718500820548e-07,1.9844452401463739e-07,2.0012718500820548e-07,0.99999999999998
11,64,76,1.6073163823432687e-07,1.5961486315515576e-07,1.6073163823432687e-07,0.9999999999999871
11,64,77,1.2725264498633756e-07,1.263526930212973e-07,1.272526449863376e-07,0.9999999999999918
11,64,78,1.0252419368623296e-07,1.0177981365194641e-07,1.0252419368623296e-07,0.9999999999999948
11,64,79,8.274539922874483e-08,8.19173061715678e-08,8.274539922874483e-08,0.9999999999999967
11,64,80,6.602966606735895e-08,6.551568535049519e-08,6.602966606735895e-08,0.9999999999999978
